,X,Y
832,วาว,pos
833,วิรุฬห์,pos
834,เสถียรภาพ,pos
835,ชนะ,pos
836,เสริมสร้าง,pos
837,ความแข็งแรง,pos
838,สร้าง,pos
839,เพลิดเพลิน,pos
840,ความรัก,pos
841,ศุกร,pos
842,สมดุล,pos
843,ยังชีพ,pos
844,น่านับถือ,pos
845,สด,pos
846,สดใส,pos
847,สนใจไยดี,pos
848,เกียรติ,pos
849,สนิท,pos
850,สนิทสนม,pos
851,สบาย,pos
852,สมจริง,pos
853,สมบูรณ์,pos
854,สร้างสรรค์,pos
855,สวย,pos
856,สวยงาม,pos
857,สห,pos
858,สะดวก,pos
859,สะอาด,pos
860,สัณห์,pos
861,สำรวม,pos
862,สำเร็จ,pos
863,สุก,pos
864,สุข,pos
865,สุขี,pos
866,สุภาพ,pos
867,สูง,pos
868,สูงส่ง,pos
869,เสมอ,pos
870,ใส,pos
871,หนาแน่น,pos
872,หนุน,pos
873,หนุ่มแน่น,pos
874,เหมาะเจาะ,pos
875,เหมาะสม,pos
876,มีประโยชน์,pos
877,อร่อย,pos
878,อธิ,pos
879,มีเหตุผล,pos
880,ทุ่มเท,pos
881,โรแมนติก,pos
882,ถูกกาลเทศะ,pos
883,มีชีวิตชีวา,pos
884,มีชีวิตรอด,pos
885,มีชื่อ,pos
886,มีชื่อเสียง,pos
887,ตื่นเต้น,pos
888,กระตือรือร้น,pos
889,ตื่นเต้น,pos
890,พร้อม,pos
891,ใหญ่โต,pos
892,มั่นอกมั่นใจ,pos
893,ลงตัว,pos
894,คล่องแคล่ว,pos
895,คล่องมือ,pos
896,คล่องตัว,pos
897,ใส่ใจ,pos
898,ไม่ได้ยอมแพ้,pos
899,เมตตา,pos
900,มีประสิทธิผล,pos
901,มีประสิทธิภาพ,pos
902,มีประโยชน์,pos
903,มีอิสรภาพ,pos
904,มีเงินทอง,pos
905,มีเงินมีทอง,pos
906,สนใจ,pos
907,สุขสันต์,pos
908,ชอบด้วยกฎหมาย,pos
909,ชอบธรรม,pos
910,เห็นด้วย,pos
911,อติ,pos
912,สนุก,pos
913,อ่อนโยน,pos
914,คบค้า,pos
915,คบหา,pos
916,คบหา,pos
917,คบหาสมาคม,pos
918,อ่อนโยน,pos
919,มนุญ,pos
920,คณิกา,pos
921,ความสงบ,pos
922,สงบ,pos
923,อัศจรรย์,pos
924,ประมาณ,pos
925,อิฏฐ,pos
926,อึด,pos
927,ประชาธิปไตย,pos
928,โอชะ,pos
929,ฮ้อ,pos
930,เฮง,pos
931,ฮา,pos
932,คุณค่า,pos
933,นับถือ,pos
934,อย่า,pos
935,ฟรี,pos
936,ให้กำลังใจ,pos
937,กำลังใจ,pos
938,ให้ความร่วมมือ,pos
939,ให้ความสนใจ,pos
940,ขอพร,pos
941,ใจรัก,pos
942,เชื่อมั่น,pos
943,ความเชื่อมั่น,pos
944,ความเชื่อมั่นในตนเอง,pos
945,เอาใจใส่,pos
946,เอาใจเขามาใส่ใจเรา,pos
947,ความเอาใจใส่,pos
948,ความเอื้ออาทร,pos
949,ความเอื้อเฟื้อ,pos
950,พอใจ,pos
951,น่าพอใจ,pos
952,น่าประทับใจ,pos
953,น่าพึงพอใจ,pos
954,น่าฟัง,pos
955,น่าภาคภูมิใจ,pos
956,น่ามหัศจรรย์,pos
957,น่ายกย่อง,pos
958,น่ายินดี,pos
959,สนุกสนาน,pos
960,ดี,pos
961,ดีใจ,pos
962,กรวด,pos
963,กรวดน้ำ,pos
964,รัก,pos
965,ชอบ,pos
966,กราบ,pos
967,กลับใจ,pos
968,กอด,pos
969,การันตี,pos
970,ก้าว,pos
971,ก้าวหน้า,pos
972,เรียน,pos
973,กรุ่ม,pos
974,กล้าหาญ,pos
975,การันตี,pos
976,พบ,pos
977,เจอ,pos
978,ช่วย,pos
979,เล่น,pos
980,อนุมัติ,pos
